OMP_NUM_THREADS,Execution_Time
1,0.323416
2,0.161187
3,0.108617
4,0.098400
5,0.150477
6,0.073230
7,0.067088
8,0.080644
9,0.058006
10,0.054302
11,0.047286
12,0.046413
13,0.046165
14,0.045530
15,0.054363
16,0.043979
17,0.095008
18,0.042481
19,0.042374
20,0.040011
21,0.046644
22,0.038231
23,0.041317
24,0.037145
25,0.036661
26,0.074383
27,0.039796
28,0.036850
29,0.037000
30,0.025442
31,0.387684
32,0.035263
33,0.034756
34,0.035551
35,0.035123
36,0.037259
37,0.035242
38,0.034907
39,0.034689
40,0.036586
41,0.061599
42,0.058087
43,0.032882
44,0.039252
45,0.034384
46,0.033391
47,0.024763
48,0.034621
49,0.033049
50,0.031962
51,0.032345
52,0.343881
53,0.032148
54,0.033655
55,0.297312
56,0.031174
57,0.031449
58,0.326172
59,0.094161
60,0.031559
61,0.833965
62,0.032181
63,0.033140
64,0.040485
65,0.033749
66,0.799291
67,0.024764
68,0.036021
69,0.071015
70,0.037920
71,0.342679
72,0.035708
73,0.042128
74,0.037310
75,0.061306
76,0.783939
77,0.033616
78,0.043661
79,0.043117
80,0.034650
81,0.693991
82,0.032241
83,0.035536
84,0.031972
85,0.032406
86,0.960282
87,0.032419
88,0.033907
89,0.033203
90,0.033026
91,0.819328
92,0.032681
93,0.034051
94,0.036495
95,0.034113
96,1.205249
97,0.034366
98,0.032407
99,0.034458
100,0.027040
101,0.035827
102,0.033505
103,0.113188
104,0.033156
105,0.938277
106,0.034622
107,0.058573
108,0.034055
109,0.033180
110,0.032361
111,0.034180
112,0.079069
113,0.035618
114,0.977236
115,0.042339
116,0.057189
117,0.031636
118,0.034164
119,0.028446
120,0.034829
121,0.040608
122,0.038399
123,0.073191
124,0.051272
125,0.042585
126,0.052243
127,0.035988
128,0.032531
