OMP_NUM_THREADS,Problem_Size,Execution_Time
1,800,600,0.217167
2,1600,1200,0.217595
3,2400,1800,0.218673
4,3200,2400,0.218260
5,4000,3000,0.219320
6,4800,3600,0.218923
7,5600,4200,0.219110
8,6400,4800,0.219600
9,7200,5400,0.218872
10,8000,6000,0.219148
11,8800,6600,0.224828
12,9600,7200,0.219149
13,10400,7800,0.219468
14,11200,8400,0.218898
15,12000,9000,0.221266
16,12800,9600,0.218879
17,13600,10200,0.219432
18,14400,10800,0.217336
19,15200,11400,0.218243
20,16000,12000,0.218774
21,16800,12600,0.219536
22,17600,13200,0.219060
23,18400,13800,0.220057
24,19200,14400,0.218585
