Total Tasks,Execution Time (s)
2,2.874119015
4,2.963185669
6,3.045385174
8,2.899870617
10,2.917973243
12,2.861543425
14,2.714219512
16,2.648696842
18,2.662178993
20,2.666681923
22,2.634014781
24,2.656022349
26,2.618927588
28,2.742176298
30,2.687312099
32,2.687375961
34,2.690707348
36,2.642357825
38,2.615319143
40,2.652249119
42,2.666193978
44,2.702627855
46,2.713265914
48,2.518668979
50,2.459298669
52,2.533222511
54,2.527939616
56,2.566048724
58,2.534031512
60,2.488134347
62,2.511289011
64,2.480387864
66,2.548136587
68,2.541320961
70,2.463833699
72,2.477535673
74,2.506566275
76,2.519256125
78,2.473566412
80,2.569091233
82,2.471609930
84,2.512373387
86,2.465654631
88,2.509394448
90,2.458619286
92,2.552853728
94,2.541797195
96,2.502925773
