Total Tasks,Execution Time (s)
2,0.126823
4,0.102409
6,0.078461
8,0.064465
10,0.089443
12,0.053133
14,0.063060
16,0.053205
18,0.047365
20,0.040287
22,0.028637
24,0.029195
26,0.042338
28,0.037411
30,0.064753
32,0.054277
34,0.071213
36,0.072286
38,0.069787
40,0.078096
42,0.067627
44,0.075575
46,0.060928
48,0.062819
50,0.062368
52,0.066031
54,0.069128
56,0.064661
58,0.063881
60,0.030568
62,0.026008
64,0.028347
66,0.024115
68,0.023195
70,0.020501
72,0.022027
74,0.019843
76,0.025229
78,0.020797
80,0.021205
82,0.021358
84,0.021376
86,0.022379
88,0.024119
90,0.020643
92,0.018848
94,0.027847
96,0.019410
