MPI_Processes,Columns,Rows,Execution_Time
2,1600,1200,0.153016
4,3200,2400,0.115631
6,4800,3600,0.089009
8,6400,4800,0.074341
10,8000,6000,0.061017
12,9600,7200,0.052707
14,11200,8400,0.045788
16,12800,9600,0.042369
18,14400,10800,0.037616
20,16000,12000,0.034696
22,17600,13200,0.032780
24,19200,14400,0.031335
26,20800,15600,0.028161
28,22400,16800,0.027337
30,24000,18000,0.026223
32,25600,19200,0.024824
34,27200,20400,0.022578
36,28800,21600,0.023203
38,30400,22800,0.021758
40,32000,24000,0.021597
42,33600,25200,0.021177
44,35200,26400,0.019909
46,36800,27600,0.024039
48,38400,28800,0.019073
50,40000,30000,0.017464
52,41600,31200,0.016994
54,43200,32400,0.017815
56,44800,33600,0.016244
58,46400,34800,0.017805
60,48000,36000,0.017717
62,49600,37200,0.015841
64,51200,38400,0.015987
66,52800,39600,0.016215
68,54400,40800,0.015659
70,56000,42000,0.015545
72,57600,43200,0.016087
74,59200,44400,0.015022
76,60800,45600,0.014500
78,62400,46800,0.014692
80,64000,48000,0.014148
82,65600,49200,0.013783
84,67200,50400,0.018536
86,68800,51600,0.017969
88,70400,52800,0.014306
90,72000,54000,0.014734
92,73600,55200,0.013725
94,75200,56400,0.013475
96,76800,57600,0.014263
98,78400,58800,0.015710
100,80000,60000,0.014972
102,81600,61200,0.014140
104,83200,62400,0.012968
106,84800,63600,0.012184
108,86400,64800,0.013400
110,88000,66000,0.012788
112,89600,67200,0.011474
114,91200,68400,0.013049
116,92800,69600,0.014234
118,94400,70800,0.016548
120,96000,72000,0.013495
122,97600,73200,0.019374
124,99200,74400,0.018808
126,100800,75600,0.015761
128,102400,76800,0.013979
130,104000,78000,0.010661
132,105600,79200,0.010820
134,107200,80400,0.012576
136,108800,81600,0.013782
138,110400,82800,0.014377
140,112000,84000,0.012918
142,113600,85200,0.012552
144,115200,86400,0.013671
146,116800,87600,0.013617
148,118400,88800,0.011515
150,120000,90000,0.012463
152,121600,91200,0.030161
154,123200,92400,0.028638
156,124800,93600,0.028621
158,126400,94800,0.023466
160,128000,96000,0.022590
162,129600,97200,0.019843
164,131200,98400,0.016313
166,132800,99600,0.015821
168,134400,100800,0.016816
170,136000,102000,0.015280
172,137600,103200,0.013833
174,139200,104400,0.011839
176,140800,105600,0.012073
178,142400,106800,0.012568
180,144000,108000,0.012912
182,145600,109200,0.012919
184,147200,110400,0.011713
186,148800,111600,0.012155
188,150400,112800,0.010717
190,152000,114000,0.010122
192,153600,115200,0.010589
194,155200,116400,0.011882
196,156800,117600,0.010569
198,158400,118800,0.012299
200,160000,120000,0.009477
202,161600,121200,0.059899
204,163200,122400,0.055152
206,164800,123600,0.055604
208,166400,124800,0.054384
210,168000,126000,0.051965
212,169600,127200,0.047501
214,171200,128400,0.043225
216,172800,129600,0.045510
218,174400,130800,0.041196
220,176000,132000,0.041007
222,177600,133200,0.035540
224,179200,134400,0.038185
226,180800,135600,0.036459
228,182400,136800,0.034103
230,184000,138000,0.031483
232,185600,139200,0.029682
234,187200,140400,0.028775
236,188800,141600,0.025018
238,190400,142800,0.022696
240,192000,144000,0.020357
242,193600,145200,0.021616
244,195200,146400,0.020699
246,196800,147600,0.016053
248,198400,148800,0.018696
250,200000,150000,0.015776
252,201600,151200,0.017133
254,203200,152400,0.016163
256,204800,153600,0.017465
