OMP_NUM_THREADS,Execution_Time
1,0.275458
3,0.274713
5,0.274927
7,0.275774
9,0.274480
11,0.274249
13,0.275815
15,0.274652
17,0.275363
19,0.276139
21,0.274238
23,0.275990
25,0.274905
27,0.275206
29,0.275808
31,0.276350
33,0.276939
35,0.276015
37,0.275657
39,0.276849
41,0.276390
43,0.280349
45,0.275148
47,0.276962
49,0.277154
51,0.277313
53,0.277993
55,0.277814
57,0.277524
59,0.276843
61,0.277173
63,0.276847
65,0.277802
67,0.278937
69,0.279406
71,0.278497
73,0.277637
75,0.278939
77,0.277084
79,0.277973
81,0.277236
83,0.277492
85,0.279141
87,0.281421
89,0.278227
91,0.278256
93,0.277406
95,0.277497
97,0.278849
99,0.279806
101,0.278652
103,0.279217
105,0.279321
107,0.279110
109,0.278745
111,0.280187
113,0.279417
115,0.279530
117,0.279496
119,0.278532
121,0.280036
123,0.278551
125,0.282904
127,0.280416
