OMP_NUM_THREADS,Problem_Size,Execution_Time
1,1000,1000,0.493722
2,1000,2000,0.518689
3,1000,3000,0.526806
4,1000,4000,0.531632
5,1000,5000,0.535147
6,1000,6000,0.537691
7,1000,7000,0.538754
8,1000,8000,0.541399
9,1000,9000,0.542843
10,1000,10000,0.544230
11,1000,11000,0.545952
12,1000,12000,0.547178
13,1000,13000,0.585311
14,1000,14000,0.625973
15,1000,15000,0.667057
16,1000,16000,0.709097
17,1000,17000,0.752974
18,1000,18000,0.794261
19,1000,19000,0.836048
20,1000,20000,0.876562
21,1000,21000,0.918324
22,1000,22000,0.959783
23,1000,23000,1.001986
24,1000,24000,1.047961
