MPI_Processes,Columns,Rows,Execution_Time
2,800,1200,0.133297
4,800,2400,0.092353
6,800,3600,0.070511
8,800,4800,0.061968
10,800,6000,0.048854
12,800,7200,0.041658
14,800,8400,0.064318
16,800,9600,0.033942
18,800,10800,0.042649
20,800,12000,0.043069
22,800,13200,0.045177
24,800,14400,0.039213
26,800,15600,0.054999
28,800,16800,0.034770
30,800,18000,0.045876
32,800,19200,0.067391
34,800,20400,0.055328
36,800,21600,0.059532
38,800,22800,0.072937
40,800,24000,0.070372
42,800,25200,0.062297
44,800,26400,0.072808
46,800,27600,0.067754
48,800,28800,0.067032
50,800,30000,0.071863
52,800,31200,0.068999
54,800,32400,0.068471
56,800,33600,0.071789
58,800,34800,0.072255
60,800,36000,0.031885
62,800,37200,0.031756
64,800,38400,0.031053
66,800,39600,0.030931
68,800,40800,0.025432
70,800,42000,0.027371
72,800,43200,0.027160
74,800,44400,0.026983
76,800,45600,0.026015
78,800,46800,0.027784
80,800,48000,0.029483
82,800,49200,0.028920
84,800,50400,0.025910
86,800,51600,0.023945
88,800,52800,0.021861
90,800,54000,0.025175
92,800,55200,0.021607
94,800,56400,0.023693
96,800,57600,0.022677
